desc,time
HH3a0a4|HH3a2a3|aH0H3a4|aH2H4a4|0|0|1,1
HH6a2a3|HH6a2a7|aH2H3a4|aH2H7a4|1|0|1,1
HH5a2a3|HH5a4a4|aH2H4a4|aH3H4a4|1|0|1,1
HH2a0a4|HH2a2a7|aH0H2a4|aH4H7a4|0|0|1,1
HH6a2a7|HH6a4a4|aH2H4a4|aH4H7a4|1|0|1,1
AA10D10a10|AA10D4a1|DA10A4a2|aA1A10D2|-1|0|1,1
AA4D1a3|AA4D4a1|DA1A4a2|aA1A3D2|-1|0|1,1
AA6D4a1|AA6D7a6|DA4A7a2|aA1A6D2|1|0|1,1
AA2D4a1|AA2D4a2|DA4A4a2|aA1A2D2|1|0|1,1
AD4H1a1|DA4H2a2|HA1D2a0|aA1D2H0|0|0|1,1
AD4H3a1|DA4H1a2|HA3D1a2|aA1D2H2|-1|0|1,1
AD4H5a1|DA4H4a2|HA5D4a4|aA1D2H4|-1|0|1,1
AD4H7a1|DA4H6a2|HA7D6a7|aA1D2H7|1|0|1,1
AD4H3a1|DA4H6a2|HA3D6a4|aA1D2H4|-1|0|1,1
AA9D10a10|AA9D1a3|DA1A10a2|aA10A3D2|-1|0|1,1
AA4D10a10|AA4D7a6|DA10A7a2|aA10A6D2|1|0|1,1
AA8D10a10|AA8D4a2|DA10A4a2|aA10A2D2|-1|0|1,1
AD10H10a10|DA10H2a2|HA10D2a0|aA10D2H0|0|0|1,1
AD10H9a10|DA10H1a2|HA9D1a2|aA10D2H2|1|0|1,1
AD10H5a10|DA10H4a2|HA5D4a4|aA10D2H4|1|0|1,1
AD10H5a10|DA10H6a2|HA5D6a7|aA10D2H7|1|0|1,1
AD10H8a10|DA10H6a2|HA8D6a4|aA10D2H4|1|0|1,1
AA6D1a3|AA6D7a6|DA1A7a2|aA3A6D2|1|0|1,1
AA4D1a3|AA4D4a2|DA1A4a2|aA2A3D2|-1|0|1,1
AD1H3a3|DA1H2a2|HA3D2a0|aA3D2H0|0|0|1,1
AD1H1a3|DA1H1a2|HA1D1a2|aA3D2H2|-1|0|1,1
AD1H3a3|DA1H4a2|HA3D4a4|aA3D2H4|1|0|1,1
AD1H5a3|DA1H6a2|HA5D6a7|aA3D2H7|1|0|1,1
AD1H6a3|DA1H6a2|HA6D6a4|aA3D2H4|1|0|1,1
AA4D4a2|AA4D7a6|DA4A7a2|aA2A6D2|1|0|1,1
AD7H6a6|DA7H2a2|HA6D2a0|aA6D2H0|0|0|1,1
AD7H6a6|DA7H1a2|HA6D1a2|aA6D2H2|1|0|1,1
AD7H3a6|DA7H4a2|HA3D4a4|aA6D2H4|1|0|1,1
AD7H5a6|DA7H6a2|HA5D6a7|aA6D2H7|1|0|1,1
AD7H4a6|DA7H6a2|HA4D6a4|aA6D2H4|1|0|1,1
AD4H2a2|DA4H2a2|HA2D2a0|aA2D2H0|0|0|1,1
AD4H3a2|DA4H1a2|HA3D1a2|aA2D2H2|-1|0|1,1
AD4H3a2|DA4H4a2|HA3D4a4|aA2D2H4|1|0|1,1
AD4H6a2|DA4H6a2|HA6D6a7|aA2D2H7|1|0|1,1
AD4H1a2|DA4H6a2|HA1D6a4|aA2D2H4|1|0|1,1
DH1H2a2|HD1H2a2|HD2H2a0|aD2H0H2|0|0|1,1
DH2H4a2|HD2H4a0|HD4H4a4|aD2H0H4|0|0|1,1
DH2H6a2|HD2H7a0|HD6H7a7|aD2H0H7|0|0|1,1
DH2H6a2|HD2H4a0|HD6H4a4|aD2H0H4|0|0|1,1
DH1H4a2|HD1H3a2|HD4H3a4|aD2H2H4|-1|0|1,1
DH1H6a2|HD1H6a2|HD6H6a7|aD2H2H7|-1|0|1,1
DH1H6a2|HD1H5a2|HD6H5a4|aD2H2H4|-1|0|1,1
DH4H6a2|HD4H2a4|HD6H2a7|aD2H4H7|-1|0|1,1
DH4H6a2|HD4H4a4|HD6H4a4|aD2H4H4|1|0|1,1
DH6H6a2|HD6H6a4|HD6H6a7|aD2H4H7|-1|0|1,1
AA10A4a1|AA10A9a10|AA4A9a3|aA1A10A3|1|0|1,1
AA10A4a10|AA10A6a1|AA4A6a6|aA1A10A6|1|0|1,1
AA10A2a1|AA10A8a10|AA2A8a2|aA1A10A2|1|0|1,1
AA10H10a10|AA10H1a1|HA1A10a0|aA1A10H0|0|0|1,1
AA10H3a1|AA10H9a10|HA3A9a2|aA1A10H2|1|0|1,1
AA10H5a1|AA10H5a10|HA5A5a4|aA1A10H4|1|0|1,1
AA10H5a10|AA10H7a1|HA5A7a7|aA1A10H7|-1|0|1,1
AA10H3a1|AA10H8a10|HA3A8a4|aA1A10H4|1|0|1,1
AA4A6a1|AA4A6a3|AA6A6a6|aA1A3A6|-1|0|1,1
AA2A4a1|AA2A4a2|AA4A4a3|aA1A2A3|1|0|1,1
AA4H1a1|AA4H3a3|HA1A3a0|aA1A3H0|0|0|1,3
AA4H1a3|AA4H3a1|HA1A3a2|aA1A3H2|1|0|1,2
AA4H3a3|AA4H5a1|HA3A5a4|aA1A3H4|-1|0|1,1
AA4H5a3|AA4H7a1|HA5A7a7|aA1A3H7|-1|0|1,1
AA4H3a1|AA4H6a3|HA3A6a4|aA1A3H4|-1|0|1,1
AA2A4a2|AA2A6a1|AA4A6a6|aA1A2A6|1|0|1,1
AA6H1a1|AA6H6a6|HA1A6a0|aA1A6H0|0|0|1,2
